"Species","L.Occ","R.Occ","Fire.Included","Type","deltaAIC","Weight","Rsquared","Intercept","Data.Type","Elevation.m","Fires","Data.Type.Elevation.m","Elevation.m.Fires","Data.Type.Fires","Elevation.m2","Data.Type.Elevation.m2","Elevation.m2.Fires","Data.Type.Elevation.m.Fires","Data.Type.Elevation.m2.Fires"
"HODI",17,16,"No","Unavg",1.81077392318042,0.132858332283236,0.152908855690633,-0.300627529639239,NA,-0.00330166035904977,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HODI",17,16,"No","Unavg",1.9664788452223,0.12290736342117,0.167158838695311,-2.4257373533038,-0.0670516736633717,0.00313509837269517,NA,NA,NA,NA,-4.23878401533724e-06,NA,NA,NA,NA
"HODI",17,16,"No","Avg",NA,NA,NA,-2.43725278724857,-0.506039619070247,0.00261949181700998,NA,0.0031769637985661,NA,NA,-3.56453036041579e-06,-3.6091022740903e-06,NA,NA,NA
"LIBO",48,74,"No","Unavg",0,0.691276372756637,0.216277561293785,-5.33588880619965,0.60555471949389,0.0117396863831193,NA,NA,NA,NA,-7.81693865790519e-06,NA,NA,NA,NA
"LIBO",48,74,"No","Unavg",1.6121864758403,0.308723627243363,0.216862921283547,-5.61006002376496,1.05825144516439,0.0121014702437103,NA,-0.000583945277966524,NA,NA,-7.82677089237759e-06,NA,NA,NA,NA
"LIBO",48,74,"No","Avg",NA,NA,NA,-5.42053193897214,0.745312894684082,0.0118513776088391,NA,-0.000180277704325459,NA,NA,-7.81997410099542e-06,NA,NA,NA,NA
"LUPE",35,46,"No","Unavg",0,0.396765717823757,0.445607058632431,-43.2674932589887,0.460503361803352,0.0451068282039434,NA,NA,NA,NA,-1.17825757127626e-05,NA,NA,NA,NA
"LUPE",35,46,"No","Unavg",0.524943219161287,0.305171637883662,0.440667501104287,-42.7651626811579,NA,0.0448363454117101,NA,NA,NA,NA,-1.17156520480443e-05,NA,NA,NA,NA
"LUPE",35,46,"No","Unavg",1.95201569855317,0.149506239207332,0.449613539331467,-29.5628226867421,-28.653650307019,0.0288911880721205,NA,0.0343451705862557,NA,NA,-7.04128829979214e-06,-1.00170654880086e-05,NA,NA,NA
"LUPE",35,46,"No","Unavg",1.96476251343228,0.14855640508525,0.445675993882431,-43.704678782606,0.992891648593552,0.0454429510386937,NA,-0.000307206671656923,NA,NA,-1.18310410651981e-05,NA,NA,NA,NA
"LUPE",35,46,"No","Avg",NA,NA,NA,-41.130209166705,-3.95368713610403,0.0426498783547675,NA,0.0050891797705258,NA,NA,-1.10605002968021e-05,-1.49761378900571e-06,NA,NA,NA
"MANE",61,68,"No","Unavg",0,0.670330917404937,0.272897051914545,-4.24296945418498,NA,0.0122539328504212,NA,NA,NA,NA,-9.63341468447046e-06,NA,NA,NA,NA
"MANE",61,68,"No","Unavg",1.41936425140506,0.329669082595063,0.273744989718512,-4.33030771160376,0.165963406133006,0.0122653182718702,NA,NA,NA,NA,-9.64239339892179e-06,NA,NA,NA,NA
"MANE",61,68,"No","Avg",NA,NA,NA,-4.27176217738368,0.0547130038442198,0.0122576862718652,NA,NA,NA,NA,-9.63637468902651e-06,NA,NA,NA,NA
"MEFE",26,31,"Yes","Unavg",0,0.4473834821865,0.0901283306193701,-6.96639313658709,0.431590828305119,0.00851004739122802,-10.5266188236066,NA,0.00759172239748137,-17.0067657527145,-3.69655734196689e-06,NA,NA,NA,NA
"MEFE",26,31,"Yes","Unavg",0.513757531940314,0.34603411305388,0.0938278213190833,-6.82694213055942,0.43112748618901,0.00823786301257524,-67.1578497513895,NA,0.0717801446225891,-17.1874006818384,-3.57691344481864e-06,NA,-1.79767243206673e-05,NA,NA
"MEFE",26,31,"Yes","Unavg",1.54543348296642,0.20658240475962,0.0912598180033648,-6.64214133278511,-0.189114461607731,0.00825604876419318,-10.9576949437702,0.000563860035973283,0.00797151906687042,-17.3748030783507,-3.73295532310628e-06,NA,NA,NA,NA
"MEFE",26,31,"Yes","Avg",NA,NA,NA,-6.85115361402477,0.303203704689717,0.00836339066399529,-30.2120093303893,0.000116483562179207,0.0298815654597566,-17.1453016359716,-3.66267565460706e-06,NA,-6.22055985591622e-06,NA,NA
"OPHO",29,23,"No","Unavg",0,0.317984010805816,0.106156017081729,-1.91960912456273,NA,0.00123573064735391,NA,NA,NA,NA,-1.84405507806756e-06,NA,NA,NA,NA
"OPHO",29,23,"No","Unavg",1.0347266425145,0.189547144983694,0.0980939301268497,-0.568833933222628,NA,-0.00219617547099246,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OPHO",29,23,"No","Unavg",1.21802449718342,0.172947633551082,0.108233421488431,-1.79413486669273,-0.26118299700319,0.00123391189229511,NA,NA,NA,NA,-1.84425559725895e-06,NA,NA,NA,NA
"OPHO",29,23,"No","Unavg",1.29424260720759,0.166480768363916,0.113344160841995,-1.41980374223053,-1.33220493502158,0.000893706090104074,NA,0.00141632724332467,NA,NA,-2.04678242764598e-06,NA,NA,NA,NA
"OPHO",29,23,"No","Unavg",1.46259777167751,0.153040442295492,0.118210127920421,-0.475164903915792,-3.68810844707493,-0.00163636545024458,NA,0.00739701582233878,NA,NA,-5.85447763371979e-07,-3.31713640761624e-06,NA,NA,NA
"OPHO",29,23,"No","Avg",NA,NA,NA,-1.33760670107716,-0.831387230430164,8.84207232039427e-05,NA,0.00136783382084092,NA,NA,-1.33568676695565e-06,-5.07656022976071e-07,NA,NA,NA
