"Species","Dataset","L.Occ","R.Occ","Fire.Included","Type","Rsquared","Intercept","Elevation.m","Elevation.m2","Data.Type.nofi","Data.Type.Elevation.m.nofi","Data.Type.Elevation.m2.nofi","Resurvey.Burned.fi","Resurvey.Unburned.fi","Elevation.m.Res.Burn.fi","Elevation.m.Res.Unburn.fi","Elevation.m2.Res.Burn.fi","Elevation.m2.Res.Unburn.fi"
"ACMI",10,10,19,"Yes","Unavg",0.151651576195889,-3.76668347641652,-16.8931496732764,-10.3961335807585,NA,NA,NA,2.73666104050073,-0.610462494049351,13.2552001741094,60.6166469176027,NA,NA
"AMAL",10,42,44,"No","Unavg",0.107496565795509,-2.41227821789399,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ARUV",10,42,26,"Yes","Unavg",0.0514562467780065,-2.26133816904018,-20.7426553821146,-7.56868243981529,NA,NA,NA,0.317350306753061,-0.473495815490617,2.24201424532572,19.494271536465,NA,NA
"ATFI",10,24,28,"No","Unavg",0.0699455290548938,-1.64969655066643,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CARU",10,33,22,"Yes","Unavg",0.0553059834229278,-2.51206473886432,-12.6951887477847,-17.0339498972419,NA,NA,NA,0.681737324043764,-0.623378339957122,NA,NA,NA,NA
"CEVE",10,26,20,"Yes","Unavg",0.111709006947292,-2.86926860694506,-10.5875463107207,-23.954402375013,NA,NA,NA,1.81875499305179,-0.827628788604841,NA,NA,NA,NA
"CHUM",10,61,48,"No","Unavg",0.152228716802863,-3.77799099652189,NA,NA,0.21222133352836,NA,NA,NA,NA,NA,NA,NA,NA
"CLUN",10,44,51,"No","Unavg",0.145914939146802,-7.5724801447748,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"COCA",10,20,25,"No","Unavg",0.109408014952046,-3.61414733704945,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EPAN",10,18,26,"Yes","Unavg",0.0908602171591494,-3.07384057107758,-2.8609063266048,-13.8124937774609,NA,NA,NA,2.34896446642396,-0.0943250637247193,NA,NA,NA,NA
"GAOV",10,11,9,"No","Unavg",0.104469586430006,-13.1126544065266,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GASH",10,21,22,"No","Unavg",0.187548288872659,-0.996232237631007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOOB",10,20,42,"No","Unavg",0.104549003755583,-3.77089867283618,NA,NA,0.843211850474644,NA,NA,NA,NA,NA,NA,NA,NA
"GYDR",10,17,21,"No","Unavg",0.0600549848377823,-4.50619619379297,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HIAL",10,12,10,"No","Unavg",0.0880379598292504,-2.32107682473057,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HODI",10,17,7,"No","Unavg",0.157083146382407,-4.61451988122496,-71.2149062875795,-19.9607545300809,-0.941697634451655,NA,NA,NA,NA,NA,NA,NA,NA
"LIBO",10,48,69,"No","Unavg",0.210534466069706,-5.18174639205651,NA,NA,0.509110342821037,NA,NA,NA,NA,NA,NA,NA,NA
"MANE",10,61,57,"No","Unavg",0.260595809590674,-3.95256530775205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MEFE",10,26,12,"No","Unavg",0.0184463573071751,-2.57963390914452,NA,NA,-0.810390171918212,NA,NA,NA,NA,NA,NA,NA,NA
"OPHO",10,29,16,"No","Unavg",0.110307213599575,-1.30571616596011,NA,NA,-0.654443715465036,NA,NA,NA,NA,NA,NA,NA,NA
"PAMY",10,127,101,"Yes","Unavg",0.0529249070151449,-0.710632793066326,-10.884771893233,-12.1005528988166,NA,NA,NA,0.582061848354534,-0.454228509257529,NA,NA,NA,NA
"POMU",10,20,9,"No","Unavg",0.192211096348581,0.230453579769313,NA,NA,-0.885240467813018,NA,NA,NA,NA,NA,NA,NA,NA
"PTAQ",10,47,18,"No","Unavg",0.11950851332096,-2.4766439207234,NA,NA,-1.08344633269904,NA,NA,NA,NA,NA,NA,NA,NA
"RULA",10,18,11,"No","Unavg",0.18886439759261,-25.5014780101796,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RUPA",10,33,22,"No","Unavg",0.112611858986924,-5.3089133648022,NA,NA,-0.451932160153697,NA,NA,NA,NA,NA,NA,NA,NA
"RUPE",10,23,23,"No","Unavg",0.0290777805777261,-6.1315594507673,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RUSP",10,15,23,"No","Unavg",0.0536499120178151,-2.07928186508629,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SOSI",10,48,22,"No","Unavg",0.157913956706415,-11.1869438686713,NA,NA,-0.92102881013726,NA,NA,NA,NA,NA,NA,NA,NA
"SPBE",10,17,27,"No","Unavg",0.101820067689446,-1.92261873498079,NA,NA,0.514525496118058,NA,NA,NA,NA,NA,NA,NA,NA
"TITR",10,34,38,"No","Unavg",0.0483007253570232,-1.48242533630526,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TRBO",10,10,26,"No","Unavg",0.196152449581809,-4.34902191758615,NA,NA,1.05966719644535,NA,NA,NA,NA,NA,NA,NA,NA
"VAME",10,95,115,"Yes","Unavg",0.0967857606859052,-1.24994599034059,11.6174502341664,-21.9376877728888,NA,NA,NA,-1.55498441730674,0.372668298297508,49.5967416406709,-8.17175925209739,NA,NA
"VASI",10,24,27,"No","Unavg",0.172296197646807,-11.1927583974902,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ACCI",100,72,61,"No","Unavg",0.24832397572058,-2.50495836803366,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ACGL",100,15,12,"No","Unavg",0.059796271312041,-4.25829784623545,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ACMI",100,10,18,"Yes","Unavg",0.147126709654829,-3.7552090714446,-16.4623623057139,-9.61093566611153,NA,NA,NA,2.72275521985236,-0.586675315536277,14.912505049869,55.7601666105822,NA,NA
"AMAL",100,42,46,"No","Unavg",0.108208610639551,-2.82277277699577,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ARUV",100,42,26,"Yes","Unavg",0.0546048356943907,-2.28096722943474,-21.6205864326823,-8.97536028330298,NA,NA,NA,0.335110666159553,-0.471770555159869,2.39799412532705,24.8217189882372,NA,NA
"ATFI",100,24,29,"No","Unavg",0.0747034550327572,-1.59740058497893,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAME",100,32,28,"No","Unavg",0.391861621830236,-26.654930067565,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CARU",100,33,20,"Yes","Unavg",0.0584320241975722,-2.50669463726774,-14.3127384057104,-15.3400282098699,NA,NA,NA,0.65998750719154,-0.753933540767016,NA,NA,NA,NA
"CEVE",100,26,21,"Yes","Unavg",0.117878602181047,-2.86011233531291,-12.713758498147,-22.6131427512925,NA,NA,NA,1.95939708255942,-0.825496602325943,NA,NA,NA,NA
"CHUM",100,61,49,"No","Unavg",0.163516233537492,-4.17664771193538,NA,NA,0.413673428870501,NA,NA,NA,NA,NA,NA,NA,NA
