"Species","Dataset","L.Occ","R.Occ","Fire.Included","Type","Mod.ID","deltaAIC","Weight","Rsquared","Intercept","Data.Type","Elevation.m","Fires","Data.Type.Elevation.m","Elevation.m.Fires","Data.Type.Fires","Elevation.m2","Data.Type.Elevation.m2","Elevation.m2.Fires","Data.Type.Elevation.m.Fires","Data.Type.Elevation.m2.Fires"
"CAME",1,32,28,"No","Unavg","Mod.6",0,0.689963310797923,0.402262926207377,-28.2267834517012,NA,0.0264473021356972,NA,NA,NA,NA,-6.16642472400028e-06,NA,NA,NA,NA
"CAME",1,32,28,"No","Unavg","Mod.7",1.59989556136014,0.310036689202077,0.403224793639,-28.1382222995468,-0.20019821038914,0.0264501781207582,NA,NA,NA,NA,-6.1649722144636e-06,NA,NA,NA,NA
"CAME",1,32,28,"No","Avg",NA,NA,NA,NA,-28.1993262452953,-0.0620687903332297,0.0264481937965837,0,0,0,0,-6.16597439275249e-06,0,0,0,0
"CARU",1,33,21,"Yes","Unavg","Mod.127",1.90825842524566,0.123418066209803,0.151908175193265,-5.61025331853218,-2.22520984870757,0.00716280688734621,2.77100045109703,0.00276918227180324,NA,-1.30257546470772,-3.76674810304129e-06,-6.70875005751147e-07,NA,NA,NA
"CARU",1,33,21,"Yes","Unavg","Mod.223",1.31509259035244,0.166028659633153,0.153444029535922,-5.66186957891018,-1.61935760215269,0.00761913054494145,2.1270839678089,0.00145939039464864,0.000718719181228677,-1.47022498786829,-4.15200045269272e-06,NA,NA,NA,NA
"CARU",1,33,21,"Yes","Unavg","Mod.31",1.77533937199115,0.131899072918306,0.141895337777346,-5.62971557339978,-1.83741891178537,0.00752151807956705,2.22923221008924,0.00128286471268863,NA,NA,-3.93577363530709e-06,NA,NA,NA,NA
"CARU",1,33,21,"Yes","Unavg","Mod.79",0.431863432638693,0.258210463067616,0.14537393218439,-6.24588930974867,-0.179131126654123,0.00795358058348574,2.77637222131527,NA,NA,-1.34950282359676,-3.89426212383349e-06,NA,NA,NA,NA
"CARU",1,33,21,"Yes","Unavg","Mod.95",0,0.320443738171122,0.151670633366511,-5.88310676573035,-1.50681819756572,0.00774569646126898,2.80374796216876,0.00130923894561777,NA,-1.35979201025059,-4.04587562113963e-06,NA,NA,NA,NA
"CARU",1,33,21,"Yes","Avg",NA,NA,NA,NA,-5.87295219265946,-1.31494870675313,0.00767685272254566,2.60451391387467,0.00117281384024965,0.000119327982312034,-1.1890534129334,-3.97537546496205e-06,-8.27980958782968e-08,0,0,0
"CEVE",1,26,23,"Yes","Unavg","Mod.14",0,0.543416084769508,0.160509390615162,-7.69878804449631,NA,0.0101844399593917,2.45694340829853,NA,NA,NA,-4.8281993004789e-06,NA,NA,NA,NA
"CEVE",1,26,23,"Yes","Unavg","Mod.142",1.68346526580439,0.234192321346472,0.161387866254081,-7.52666225318606,NA,0.0100757297030677,1.9472712495115,NA,0.000502858325459028,NA,-4.88339865064081e-06,NA,NA,NA,NA
"CEVE",1,26,23,"Yes","Unavg","Mod.15",1.78687106482897,0.22239159388402,0.161100885188332,-7.6307591100529,-0.145884211233629,0.010189279479634,2.45878277788575,NA,NA,NA,-4.83042064281198e-06,NA,NA,NA,NA
"CEVE",1,26,23,"Yes","Avg",NA,NA,NA,NA,-7.64334844270466,-0.0324434222587598,0.0101600571207293,2.33799116264077,0,0.000117765558547649,0,-4.84162057229215e-06,0,0,0,0
"CHUM",1,61,49,"No","Unavg","Mod.15",0,0.363560343950507,0.159473202008313,-4.29025210238418,0.900394068454586,0.00862888612423524,NA,-0.0014833177522835,NA,NA,-5.30840945019454e-06,NA,NA,NA,NA
"CHUM",1,61,49,"No","Unavg","Mod.31",1.37617388328545,0.182702354339623,0.160477491076927,-3.79584260597698,-0.418154980869745,0.00743773553899696,NA,0.00189282352472695,NA,NA,-4.66706131480802e-06,-1.9576095267798e-06,NA,NA,NA
"CHUM",1,61,49,"No","Unavg","Mod.6",0.770318417856402,0.247345484595424,0.15179353212515,-3.73438154288808,NA,0.00755123972054092,NA,NA,NA,NA,-5.04857030034849e-06,NA,NA,NA,NA
"CHUM",1,61,49,"No","Unavg","Mod.7",1.13233780850908,0.206391817114446,0.154430494535819,-3.6026881866321,-0.279778530160823,0.0075608528632545,NA,NA,NA,NA,-5.05572175895065e-06,NA,NA,NA,NA
"CHUM",1,61,49,"No","Avg",NA,NA,NA,NA,-3.92052268451743,0.193205678505102,0.00792427581052241,0,-0.000193452197891047,0,0,-5.07481092371428e-06,-3.57659869420343e-07,0,0,0
"CLUN",1,44,49,"No","Unavg","Mod.6",0,0.692578516879985,0.141198037047844,-7.45108564909827,NA,0.0138937494824652,NA,NA,NA,NA,-7.4267500744062e-06,NA,NA,NA,NA
"CLUN",1,44,49,"No","Unavg","Mod.7",1.62440379643124,0.307421483120015,0.141870238897173,-7.5282221973033,0.14255403870087,0.0139041552878575,NA,NA,NA,NA,-7.43223730219962e-06,NA,NA,NA,NA
"CLUN",1,44,49,"No","Avg",NA,NA,NA,NA,-7.47479908115022,0.0438241740021695,0.013896948450592,0,0,0,0,-7.42843696611267e-06,0,0,0,0
"COCA",1,20,23,"No","Unavg","Mod.6",0,0.706156960685024,0.104890458327942,-3.87008473513339,NA,0.00531767207485248,NA,NA,NA,NA,-3.91608437368001e-06,NA,NA,NA,NA
"COCA",1,20,23,"No","Unavg","Mod.7",1.75358358361274,0.293843039314976,0.105642185660063,-3.95357308678997,0.159138258185829,0.00532174145401317,NA,NA,NA,NA,-3.91851852684725e-06,NA,NA,NA,NA
