"Elevation.m","Elevation.m2","Resurvey.Burned.fi","Resurvey.Unburned.fi","Elevation.m.Res.Burn.fi","Elevation.m.Res.Unburn.fi","Elevation.m2.Res.Burn.fi","Elevation.m2.Res.Unburn.fi","Data.Type.nofi","Data.Type.Elevation.m.nofi","Data.Type.Elevation.m2.nofi","Species","Fire.Included","Effect"
"NULL","100","NULL","NULL","NULL","NULL","NULL","NULL","100","NULL","4","SOSI","No","-"
"NULL","NULL","100","100","100","100","100","100","NULL","95","96","SOSI","No","0"
"NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","99","NULL","NULL","SPBE","No","+"
"100","100","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","SPBE","No","-"
"NULL","NULL","100","100","100","100","100","100","1","100","100","SPBE","No","0"
"NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","TITR","No","+"
"100","100","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","TITR","No","-"
"NULL","NULL","100","100","100","100","100","100","100","100","100","TITR","No","0"
"NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","57","NULL","NULL","TRBO","No","+"
"70","70","NULL","NULL","NULL","NULL","NULL","NULL","13","13","NULL","TRBO","No","-"
"30","30","100","100","100","100","100","100","30","87","100","TRBO","No","0"
"100","NULL","NULL","100","100","NULL","NULL","NULL","NULL","NULL","NULL","VAME","Yes","+"
"NULL","100","100","NULL","NULL","100","NULL","NULL","NULL","NULL","NULL","VAME","Yes","-"
"NULL","NULL","NULL","NULL","NULL","NULL","100","100","100","100","100","VAME","Yes","0"
"100","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","VASI","No","+"
"NULL","100","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","VASI","No","-"
"NULL","NULL","100","100","100","100","100","100","100","100","100","VASI","No","0"
