"Elevation.m","Elevation.m2","Resurvey.Burned.fi","Resurvey.Unburned.fi","Elevation.m.Res.Burn.fi","Elevation.m.Res.Unburn.fi","Elevation.m2.Res.Burn.fi","Elevation.m2.Res.Unburn.fi","Data.Type.nofi","Data.Type.Elevation.m.nofi","Data.Type.Elevation.m2.nofi","Species","Effect"
"NULL","100","NULL","NULL","NULL","NULL","NULL","NULL","100","4","NULL","PTAQ","-"
"NULL","NULL","100","100","100","100","100","100","NULL","NULL","90","PTAQ","0"
"100","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","90","NULL","RHAL","+"
"NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","100","NULL","NULL","RHAL","-"
"NULL","100","100","100","100","100","100","100","NULL","10","100","RHAL","0"
"100","NULL","NULL","NULL","NULL","NULL","NULL","NULL","12","5","2","RULA","+"
"NULL","100","NULL","NULL","NULL","NULL","NULL","NULL","88","27","NULL","RULA","-"
"NULL","NULL","100","100","100","100","100","100","NULL","68","98","RULA","0"
"100","NULL","NULL","NULL","NULL","NULL","NULL","NULL","91","1","91","RUPA","+"
"NULL","100","NULL","NULL","NULL","NULL","NULL","NULL","9","99","NULL","RUPA","-"
"NULL","NULL","100","100","100","100","100","100","NULL","NULL","9","RUPA","0"
"100","NULL","NULL","NULL","NULL","NULL","NULL","NULL","76","NULL","3","RUPE","+"
"NULL","100","NULL","NULL","NULL","NULL","NULL","NULL","24","42","NULL","RUPE","-"
"NULL","NULL","100","100","100","100","100","100","NULL","58","97","RUPE","0"
"1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","84","52","NULL","RUSP","+"
"99","100","NULL","NULL","NULL","NULL","NULL","NULL","16","NULL","16","RUSP","-"
"NULL","NULL","100","100","100","100","100","100","NULL","48","84","RUSP","0"
"100","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","100","NULL","SOSI","+"
"NULL","100","NULL","NULL","NULL","NULL","NULL","NULL","100","NULL","29","SOSI","-"
"NULL","NULL","100","100","100","100","100","100","NULL","NULL","71","SOSI","0"
"100","NULL","65","65","NULL","4","NULL","1","35","9","NULL","SPBE","+"
"NULL","100","NULL","NULL","4","NULL","1","NULL","NULL","25","NULL","SPBE","-"
"NULL","NULL","35","35","96","96","99","99","65","66","100","SPBE","0"
"100","NULL","NULL","NULL","NULL","NULL","NULL","NULL","99","NULL","NULL","TITR","+"
"NULL","100","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","TITR","-"
"NULL","NULL","100","100","100","100","100","100","NULL","100","100","TITR","0"
"100","NULL","NULL","NULL","NULL","NULL","NULL","NULL","100","30","NULL","TRBO","+"
"NULL","100","NULL","NULL","NULL","NULL","NULL","NULL","NULL","69","53","TRBO","-"
"NULL","NULL","100","100","100","100","100","100","NULL","1","47","TRBO","0"
"100","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","VAAL","+"
"NULL","100","NULL","NULL","NULL","NULL","NULL","NULL","100","NULL","NULL","VAAL","-"
"NULL","NULL","100","100","100","100","100","100","NULL","100","100","VAAL","0"
"100","NULL","NULL","NULL","NULL","NULL","NULL","NULL","99","99","NULL","VADE","+"
"NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","VADE","-"
"NULL","99","100","100","100","100","100","100","1","1","100","VADE","0"
"100","NULL","NULL","99","99","NULL","95","NULL","1","NULL","NULL","VAME","+"
"NULL","100","99","NULL","NULL","99","NULL","95","NULL","NULL","NULL","VAME","-"
"NULL","NULL","1","1","1","1","5","5","99","100","100","VAME","0"
"100","NULL","NULL","NULL","NULL","NULL","NULL","NULL","82","NULL","NULL","VASI","+"
"NULL","100","NULL","NULL","NULL","NULL","NULL","NULL","18","NULL","NULL","VASI","-"
"NULL","NULL","100","100","100","100","100","100","NULL","100","100","VASI","0"
