"new_Model_id","X.Intercept.","AIC","logLik","Data.TypeResurvey","Elevation.m","Elevation.m2","Data.TypeResurvey.Elevation.m","Data.TypeResurvey.Elevation.m2","Model_id","Has_warning","Probability_warning","Converge_warning","Species","Dataset","L.Occ","R.Occ","Fire.Included","Type","FiresBurned","Data.TypeResurvey.FiresBurned","Elevation.m.FiresBurned","Elevation.m2.FiresBurned","Data.TypeResurvey.Elevation.m.FiresBurned","Data.TypeResurvey.Elevation.m2.FiresBurned"
"Mod.127",-4.74460398380023,240.091619320119,-112.04580966006,1.10819460619541,0.00375465836723153,-2.21385349542402e-06,-0.00416087905269132,2.67312748520072e-06,"127",FALSE,FALSE,FALSE,"ACMI",1,10,20,"Yes","Unavg.w.warn",0.138350400088201,2.04775430634201,NA,NA,NA,NA
"Mod.138",-4.15263790563082,243.992042499225,-117.996021249613,NA,0.000584906627489429,NA,NA,NA,"138",FALSE,FALSE,FALSE,"ACMI",1,10,20,"Yes","Unavg.w.warn",2.79710851392869,NA,-0.00104781923126077,NA,NA,NA
"Mod.139",-4.59012641315925,242.328167663527,-116.164083831763,0.74476016543963,0.000586458009103597,NA,NA,NA,"139",FALSE,FALSE,FALSE,"ACMI",1,10,20,"Yes","Unavg.w.warn",2.82000410933662,NA,-0.00105643344211277,NA,NA,NA
"Mod.14",-3.60739768215826,245.801632782528,-118.900816391264,NA,4.29831425417498e-05,5.96285490839038e-08,NA,NA,"14",FALSE,FALSE,FALSE,"ACMI",1,10,20,"Yes","Unavg.w.warn",1.60257155188472,NA,NA,NA,NA,NA
"Mod.142",-4.14747551408824,245.992020321543,-117.996010160772,NA,0.000574795462729244,4.18855200480579e-09,NA,NA,"142",FALSE,FALSE,FALSE,"ACMI",1,10,20,"Yes","Unavg.w.warn",2.79614091754869,NA,-0.00104731314689135,NA,NA,NA
"Mod.143",-4.58483136986114,244.328144483267,-116.164072241633,0.744761276623575,0.000576081929164958,4.29935935051843e-09,NA,NA,"143",FALSE,FALSE,FALSE,"ACMI",1,10,20,"Yes","Unavg.w.warn",2.81901855529469,NA,-0.00105592049759567,NA,NA,NA
"Mod.15",-4.0432983308899,244.147834098908,-117.073917049454,0.742483432249555,4.4776620035348e-05,5.93610322956323e-08,NA,NA,"15",FALSE,FALSE,FALSE,"ACMI",1,10,20,"Yes","Unavg.w.warn",1.61576755302558,NA,NA,NA,NA,NA
"Mod.155",-3.46353090891041,240.745831026983,-114.372915513491,-0.971678223991203,-0.000480536425239654,NA,0.001554206285242,NA,"155",FALSE,FALSE,FALSE,"ACMI",1,10,20,"Yes","Unavg.w.warn",2.73114603995952,NA,-0.000994210786653389,NA,NA,NA
"Mod.159",-3.71019441740011,242.680855856869,-114.340427928434,-1.03639397361771,4.58525721521719e-05,-2.35870391623355e-07,0.00161351127757343,NA,"159",FALSE,FALSE,FALSE,"ACMI",1,10,20,"Yes","Unavg.w.warn",2.78037271766486,NA,-0.00101927796454686,NA,NA,NA
"Mod.19",-2.65066896154761,250.963161386207,-121.481580693104,-1.12454664625918,-0.000918747802055129,NA,0.00169175477896548,NA,"19",FALSE,FALSE,FALSE,"ACMI",1,10,20,"Yes","Unavg.w.warn",NA,NA,NA,NA,NA,NA
"Mod.191",-6.34255176022345,242.037391705173,-113.018695852586,2.59520238628932,0.00594540248185408,-3.02277179835457e-06,-0.00634062501647636,3.64647646979301e-06,"191",FALSE,FALSE,FALSE,"ACMI",1,10,20,"Yes","Unavg.w.warn",2.89020894501351,NA,-0.00110911256548617,NA,NA,NA
"Mod.2",-3.41484612413572,254.505350291082,-125.252675145541,NA,0.000225256522502983,NA,NA,NA,"2",FALSE,FALSE,FALSE,"ACMI",1,10,20,"Yes","Unavg.w.warn",NA,NA,NA,NA,NA,NA
"Mod.203",-4.26262737539734,239.353265184703,-113.676632592351,0.209999486752722,0.000584886732428321,NA,NA,NA,"203",FALSE,FALSE,FALSE,"ACMI",1,10,20,"Yes","Unavg.w.warn",1.22360399039963,2.25584273290134,-0.00109888633870329,NA,NA,NA
"Mod.2047",-6.51333755692906,234.854537275465,-105.427268637732,0.426747859441989,0.00709992418572562,-3.59734177240654e-06,-0.004350805787541,3.16705006327787e-06,"2047",TRUE,TRUE,TRUE,"ACMI",1,10,20,"Yes","Unavg.w.warn",-26535.6697236151,26541.6065124998,134.238893564277,-0.169633802985425,-134.243501858338,0.1696349267956
"Mod.207",-4.25251170151405,241.353183169983,-113.676591584991,0.209997865782443,0.00056507305140685,8.20819297043783e-09,NA,NA,"207",FALSE,FALSE,FALSE,"ACMI",1,10,20,"Yes","Unavg.w.warn",1.22175923416568,2.25587145386163,-0.00109796058667019,NA,NA,NA
"Mod.219",-2.8137365743762,234.578637410688,-110.289318705344,-2.76906953893275,-0.000744462637717693,NA,0.00247067382366566,NA,"219",FALSE,FALSE,FALSE,"ACMI",1,10,20,"Yes","Unavg.w.warn",1.4939431995891,3.31335252009674,-0.00205051738333847,NA,NA,NA
"Mod.223",-3.36059977606249,236.253973338515,-110.126986669257,-3.08024822740692,0.000470285532245753,-5.60558005307015e-07,0.00272784914385253,NA,"223",FALSE,FALSE,FALSE,"ACMI",1,10,20,"Yes","Unavg.w.warn",1.66582301483275,3.42148007187662,-0.00222542008248314,NA,NA,NA
"Mod.23",-2.34105739930994,252.830388674087,-121.415194337043,-1.02205315773452,-0.0016264758637599,3.27767204731331e-07,0.00159767292584166,NA,"23",FALSE,FALSE,FALSE,"ACMI",1,10,20,"Yes","Unavg.w.warn",NA,NA,NA,NA,NA,NA
"Mod.255",-5.1035233501483,237.136920718198,-109.568460359099,-0.429641412362851,0.00433845640416855,-2.40142471299851e-06,-0.00275371007363,2.46944364165728e-06,"255",FALSE,FALSE,FALSE,"ACMI",1,10,20,"Yes","Unavg.w.warn",1.76876904546348,3.09468886984428,-0.00210005640654137,NA,NA,NA
"Mod.27",-3.00108587544355,240.379365142771,-115.189682571386,-1.0048516231641,-0.000883866947429059,NA,0.00159714780388857,NA,"27",FALSE,FALSE,FALSE,"ACMI",1,10,20,"Yes","Unavg.w.warn",1.61674997350052,NA,NA,NA,NA,NA
"Mod.3",-3.83645477657644,252.937514005108,-123.468757002554,0.724436343942651,0.000225792945662046,NA,NA,NA,"3",FALSE,FALSE,FALSE,"ACMI",1,10,20,"Yes","Unavg.w.warn",NA,NA,NA,NA,NA,NA
"Mod.31",-3.17572697552932,242.341091354589,-115.170545677294,-1.0556031203284,-0.00049578386547704,-1.783793173097e-07,0.00164375235786777,NA,"31",FALSE,FALSE,FALSE,"ACMI",1,10,20,"Yes","Unavg.w.warn",1.63244533491915,NA,NA,NA,NA,NA
"Mod.398",-5.03429500239276,247.069749277951,-117.534874638975,NA,0.00229130718311946,-7.06145904796418e-07,NA,NA,"398",FALSE,FALSE,FALSE,"ACMI",1,10,20,"Yes","Unavg.w.warn",4.73179139260876,NA,-0.00519206551743622,1.76079580182366e-06,NA,NA
"Mod.399",-5.47693029235552,245.393875084837,-115.696937542418,0.747103037678177,0.00230035737542393,-7.09401768926473e-07,NA,NA,"399",FALSE,FALSE,FALSE,"ACMI",1,10,20,"Yes","Unavg.w.warn",4.77754725898708,NA,-0.00525028510509866,1.7818564378657e-06,NA,NA
"Mod.415",-4.59819216191452,243.729542904418,-113.864771452209,-1.05767653907533,0.00178323511284904,-9.60088706738924e-07,0.00162861019398782,NA,"415",FALSE,FALSE,FALSE,"ACMI",1,10,20,"Yes","Unavg.w.warn",4.75955503868213,NA,-0.00527440161708877,1.81416056200721e-06,NA,NA
