"Species","Dataset","L.Occ","R.Occ","Fire.Included","Type","Rsquared","Intercept","Elevation.m","Elevation.m2","Data.Type.nofi","Data.Type.Elevation.m.nofi","Data.Type.Elevation.m2.nofi","P.Intercept","P.Elevation.m","P.Elevation.m2","P.Data.Type.nofi","P.Data.Type.Elevation.m.nofi","P.Data.Type.Elevation.m2.nofi","Intercept.CI.Lower","Elevation.m.CI.Lower","Elevation.m2.CI.Lower","Data.Type.nofi.CI.Lower","Data.Type.Elevation.m.nofi.CI.Lower","Data.Type.Elevation.m2.nofi.CI.Lower","Intercept.CI.Upper","Elevation.m.CI.Upper","Elevation.m2.CI.Upper","Data.Type.nofi.CI.Upper","Data.Type.Elevation.m.nofi.CI.Upper","Data.Type.Elevation.m2.nofi.CI.Upper"
"POMU",1,20,10,"No","Global_unavg",0.190959024929853,0.903939942315801,NA,NA,-2.67287593902212,NA,NA,0.459505624203113,NA,NA,0.240338359647534,NA,NA,-1.69002434435425,NA,NA,-7.79805876232675,NA,NA,3.21354443484589,NA,NA,1.47971575470886,NA,NA
"PTAQ",1,47,22,"No","Global_unavg",0.103110156810825,-2.74106709139397,NA,NA,-1.12440574486355,NA,NA,0.0131693056519909,NA,NA,0.549989751040456,NA,NA,-5.08845187308507,NA,NA,-5.03122492479744,NA,NA,-0.719788328570164,NA,NA,2.44753391043319,NA,NA
"RULA",1,18,13,"No","Global_unavg",0.187900524600347,-27.1983603497134,NA,NA,7.08157801905411,NA,NA,0.00198926159982015,NA,NA,0.537051706510717,NA,NA,-48.6900296850377,NA,NA,-16.31368108867,NA,NA,-13.7720262187337,NA,NA,31.6043436032354,NA,NA
"RUPA",1,33,21,"No","Global_unavg",0.115292026652565,-7.49810947081765,NA,NA,3.39721061403809,NA,NA,0.000203426930417266,NA,NA,0.191934943278139,NA,NA,-11.9760191850088,NA,NA,-1.67895896769639,NA,NA,-4.00575732694969,NA,NA,8.7266082289201,NA,NA
"RUPE",1,23,23,"No","Global_unavg",0.0501015433818606,-8.19479331733684,NA,NA,1.28624183993836,NA,NA,0.000186263924032608,NA,NA,0.659374146131084,NA,NA,-13.1161904028644,NA,NA,-4.4306750189094,NA,NA,-4.42195874682828,NA,NA,7.24964566514335,NA,NA
"RUSP",1,15,20,"No","Global_unavg",0.0629867116568699,-1.43069033807597,NA,NA,-1.81464821114765,NA,NA,0.301953842913637,NA,NA,0.37085153359213,NA,NA,-4.48469264177875,NA,NA,-5.90986287415904,NA,NA,1.05946689522147,NA,NA,2.19896305001096,NA,NA
"SOSI",1,48,19,"No","Global_unavg",0.1646805286316,-9.81888433448531,NA,NA,-7.31130444117125,NA,NA,9.20366917859582e-07,NA,NA,0.196568382040489,NA,NA,-14.2078371616974,NA,NA,-20.7428933827946,NA,NA,-6.30368977494645,NA,NA,2.13761462462393,NA,NA
"SPBE",1,17,29,"No","Global_unavg",0.107798152659909,-3.99208000158814,NA,NA,1.18656749643078,NA,NA,0.0313434502030268,NA,NA,0.604664319639688,NA,NA,-8.25689114831655,NA,NA,-3.14606359743845,NA,NA,-0.844284047014566,NA,NA,6.06520391086596,NA,NA
"TITR",1,34,39,"No","Global_unavg",0.0466575061735075,-2.84279573756132,NA,NA,0.674730885992601,NA,NA,0.0157739310168058,NA,NA,0.666247206225884,NA,NA,-5.36315039920949,NA,NA,-2.37105651498329,NA,NA,-0.706711301189398,NA,NA,3.82177808403424,NA,NA
"TRBO",1,10,26,"No","Global_unavg",0.202173583666181,-4.16005139126837,NA,NA,0.600295429393681,NA,NA,0.0929056079931773,NA,NA,0.851644265697168,NA,NA,-10.2872595544665,NA,NA,-5.58829692378722,NA,NA,-0.219395232840604,NA,NA,7.62110031377314,NA,NA
"VASI",1,24,28,"No","Global_unavg",0.177947677833942,-12.9537815753902,NA,NA,2.48843235466704,NA,NA,0.00403556811084972,NA,NA,0.651691616474875,NA,NA,-24.1262206557556,NA,NA,-7.91047593626279,NA,NA,-6.03337095426748,NA,NA,14.8517036443083,NA,NA
"ACCI",10,72,59,"No","Global_unavg",0.25118747658301,-2.93649124225604,NA,NA,1.01223773706368,NA,NA,0.0176028995840512,NA,NA,0.561581786584569,NA,NA,-5.54654299586958,NA,NA,-2.43636053691769,NA,NA,-0.660795958606476,NA,NA,4.46161512665213,NA,NA
"ACGL",10,15,11,"No","Global_unavg",0.0732504268961464,-3.44761529333349,NA,NA,-3.49635901820127,NA,NA,0.0376331766188691,NA,NA,0.333842595588912,NA,NA,-7.17206782145439,NA,NA,-11.9469385933899,NA,NA,-0.565677259885613,NA,NA,2.81526127050037,NA,NA
"AMAL",10,42,44,"No","Global_unavg",0.108668773412345,-3.0181303287797,NA,NA,1.09987161415765,NA,NA,0.0129433143082382,NA,NA,0.492926194065181,NA,NA,-5.62734245645909,NA,NA,-2.01819925383102,NA,NA,-0.823288162179735,NA,NA,4.33666187080191,NA,NA
"ATFI",10,24,28,"No","Global_unavg",0.079438532531285,-1.69029376987102,NA,NA,-2.2082328497083,NA,NA,0.164731559391427,NA,NA,0.246005112044032,NA,NA,-4.31566137573891,NA,NA,-6.09838563024922,NA,NA,0.51990385954734,NA,NA,1.47994817182462,NA,NA
"CHUM",10,61,48,"No","Global_unavg",0.152229797183014,-3.79584260597562,NA,NA,0.256169448683087,NA,NA,0.000888129011989405,NA,NA,0.883360296035967,NA,NA,-6.21598990251829,NA,NA,-3.27113743834062,NA,NA,-1.71196008134643,NA,NA,3.64962649765683,NA,NA
"CLUN",10,44,51,"No","Global_unavg",0.148775216910123,-8.06901401948568,NA,NA,0.809295970390195,NA,NA,6.94310886261822e-06,NA,NA,0.739441306179541,NA,NA,-11.9626123342997,NA,NA,-3.9658020276963,NA,NA,-4.89255344866021,NA,NA,5.68806528320466,NA,NA
"COCA",10,20,25,"No","Global_unavg",0.114018023387497,-2.82923291787381,NA,NA,-1.73224230287916,NA,NA,0.0640296130879166,NA,NA,0.465574376327586,NA,NA,-6.2528374329445,NA,NA,-6.63943975795886,NA,NA,-0.15829553734384,NA,NA,2.90081976410618,NA,NA
"GAOV",10,11,9,"No","Global_unavg",0.106364775304166,-12.0926121369893,NA,NA,-2.48982446163247,NA,NA,0.00289034634440158,NA,NA,0.708955269576883,NA,NA,-21.8500784657227,NA,NA,-17.2410143818117,NA,NA,-5.60261462017854,NA,NA,10.4076063989057,NA,NA
"GASH",10,21,22,"No","Global_unavg",0.194394056561261,0.174116626213031,NA,NA,-2.05268392412559,NA,NA,0.906967144879657,NA,NA,0.337268529942105,NA,NA,-3.15525160956481,NA,NA,-6.39433977104484,NA,NA,2.82852103487194,NA,NA,2.21540449455023,NA,NA
"GOOB",10,20,42,"No","Global_unavg",0.107841537162844,-3.93104235718182,NA,NA,0.959715925309935,NA,NA,0.0136227613069713,NA,NA,0.630213116134121,NA,NA,-7.47275654913936,NA,NA,-2.84120578880322,NA,NA,-1.14647003588884,NA,NA,5.10168454708755,NA,NA
"GYDR",10,17,21,"No","Global_unavg",0.0641324334358713,-4.06023197302251,NA,NA,-0.936775064643309,NA,NA,0.0227901032155791,NA,NA,0.707144475943106,NA,NA,-8.1140012109657,NA,NA,-5.89865189770645,NA,NA,-1.00266995800556,NA,NA,4.12039300082195,NA,NA
