"P.Intercept","P.Elevation.m","P.Elevation.m2","P.Data.Type.nofi","P.Data.Type.Elevation.m.nofi","P.Data.Type.Elevation.m2.nofi","Species","Fire.Included","Significance"
100,100,NA,NA,NA,NA,"RUSP","No","Significant"
NA,NA,NA,NA,NA,NA,"RUSP","No","Marginal"
NA,NA,100,100,100,100,"RUSP","No","NS"
NA,NA,NA,NA,NA,NA,"RUSP","No","Ignore"
100,100,100,96,NA,NA,"SOSI","No","Significant"
NA,NA,NA,4,4,1,"SOSI","No","Marginal"
NA,NA,NA,NA,96,99,"SOSI","No","NS"
NA,NA,NA,NA,NA,NA,"SOSI","No","Ignore"
100,100,NA,NA,NA,NA,"SPBE","No","Significant"
NA,NA,NA,NA,NA,NA,"SPBE","No","Marginal"
NA,NA,100,100,100,100,"SPBE","No","NS"
NA,NA,NA,NA,NA,NA,"SPBE","No","Ignore"
100,100,NA,NA,NA,NA,"TITR","No","Significant"
NA,NA,NA,NA,NA,NA,"TITR","No","Marginal"
NA,NA,100,100,100,100,"TITR","No","NS"
NA,NA,NA,NA,NA,NA,"TITR","No","Ignore"
70,NA,NA,NA,NA,NA,"TRBO","No","Significant"
NA,NA,NA,NA,NA,NA,"TRBO","No","Marginal"
NA,70,70,70,70,70,"TRBO","No","NS"
NA,NA,NA,NA,NA,NA,"TRBO","No","Ignore"
100,100,NA,NA,NA,NA,"VASI","No","Significant"
NA,NA,NA,NA,NA,NA,"VASI","No","Marginal"
NA,NA,100,100,100,100,"VASI","No","NS"
NA,NA,NA,NA,NA,NA,"VASI","No","Ignore"
