"Species","Dataset","L.Occ","R.Occ","Fire.Included","Type","Intercept.CI.Lower","Elevation.m.CI.Lower","Elevation.m2.CI.Lower","Data.Type.nofi.CI.Lower","Data.Type.Elevation.m.nofi.CI.Lower","Data.Type.Elevation.m2.nofi.CI.Lower","Resurvey.Burned.fi.CI.Lower","Resurvey.Unburned.fi.CI.Lower","Elevation.m.Res.Burn.fi.CI.Lower","Elevation.m.Res.Unburn.fi.CI.Lower","Elevation.m2.Res.Burn.fi.CI.Lower","Elevation.m2.Res.Unburn.fi.CI.Lower","Intercept.CI.Upper","Elevation.m.CI.Upper","Elevation.m2.CI.Upper","Data.Type.nofi.CI.Upper","Data.Type.Elevation.m.nofi.CI.Upper","Data.Type.Elevation.m2.nofi.CI.Upper","Resurvey.Burned.fi.CI.Upper","Resurvey.Unburned.fi.CI.Upper","Elevation.m.Res.Burn.fi.CI.Upper","Elevation.m.Res.Unburn.fi.CI.Upper","Elevation.m2.Res.Burn.fi.CI.Upper","Elevation.m2.Res.Unburn.fi.CI.Upper"
"ACCI",1,72,58,"No","Avg.Confidence",-4.26795051020749,0.00278190913729138,-9.04940929133194e-06,-0.855445690860329,-0.000835339471453355,NA,NA,NA,NA,NA,NA,NA,-0.76738392697951,0.0118803403058183,-3.34429263233461e-06,0.54242288123409,0.000745954274875397,NA,NA,NA,NA,NA,NA,NA
"ACGL",1,15,14,"No","Avg.Confidence",-6.59546321493149,-0.00191065285591891,-5.72528711923175e-06,-0.414765848253647,NA,NA,NA,NA,NA,NA,NA,NA,-1.3862715005609,0.00969323155132149,2.39534649109558e-07,0.377529407490978,NA,NA,NA,NA,NA,NA,NA,NA
"ACMI",1,10,20,"Yes","Avg.Confidence",-4.72206265337877,-0.00297947768360106,-1.08192072578386e-06,NA,NA,NA,-0.168168866447402,-5.62921787929981,-0.00131082892438476,-0.000850027222424025,NA,NA,-1.21056573618697,0.00201379789439132,8.76926442076499e-07,NA,NA,NA,4.01882293118017,1.34323482590907,0.00239331566698826,0.00484156982258622,NA,NA
"AMAL",1,42,42,"No","Avg.Confidence",-4.4904282237551,0.000624546810897378,-5.26668665184628e-06,-0.242546729674915,NA,NA,NA,NA,NA,NA,NA,NA,-1.19057270753955,0.00818068000993441,-1.25282425836328e-06,0.24542001586421,NA,NA,NA,NA,NA,NA,NA,NA
"ARUV",1,42,29,"Yes","Avg.Confidence",-3.5558195684344,-0.00276381821702459,-2.58703423070574e-06,NA,NA,NA,-1.8778513178722,-3.56380024336842,-0.00138393114810264,-0.00052839225788703,NA,NA,0.0379167165938272,0.00443226830147222,6.93020451265375e-07,NA,NA,NA,2.03969280008027,0.07489968411809,0.00226291331605456,0.00291440403512739,NA,NA
"ATFI",1,24,30,"No","Avg.Confidence",-4.07101512504359,-0.00349143902909981,-3.71143681328295e-06,-0.301417880059853,NA,NA,NA,NA,NA,NA,NA,NA,-0.0593049804881693,0.00556477521124164,8.93085712723853e-07,0.440481684151924,NA,NA,NA,NA,NA,NA,NA,NA
"CAME",1,32,28,"No","Avg.Confidence",-48.06350974889,0.00335881282727881,-1.28371885646456e-05,-0.453081123585957,NA,NA,NA,NA,NA,NA,NA,NA,-8.33514274170069,0.0495375747658886,5.05239779140641e-07,0.328943542919498,NA,NA,NA,NA,NA,NA,NA,NA
"CARU",1,33,21,"Yes","Avg.Confidence",-6.7480547069197,0.000512897351846954,-4.92858826411516e-06,NA,NA,NA,-2.90185007822675,-10.3056041871094,-0.00693380954973744,-0.00924825931793533,-2.5067895567645e-06,-7.26839894600474e-06,-1.90678019811058,0.0100266429733564,-6.03219480362782e-07,NA,NA,NA,4.04088591042819,4.17592296296769,0.00618084558976626,0.0174020660418556,3.27748886286999e-06,4.15511227849816e-06
"CEVE",1,26,23,"Yes","Avg.Confidence",-9.02925329219483,0.00391796525994603,-6.5732444377722e-06,NA,NA,NA,0.0594494747030891,-2.93715491200591,-0.00114057934817555,-0.0012893494932024,NA,NA,-3.87745229311184,0.0138004442887615,-2.02665434361589e-06,NA,NA,NA,3.39230849427281,0.827753235834729,0.00165688919471621,0.00206959703713354,NA,NA
"CHUM",1,61,49,"No","Avg.Confidence",-5.90544214001358,0.00348443071847667,-7.42508616055135e-06,-1.88116368368791,-0.00469935192673541,-2.95326628186264e-06,NA,NA,NA,NA,NA,NA,-1.93560322902128,0.0123641209025682,-2.72453568687722e-06,2.26757504069811,0.00431244753095332,2.23794654302195e-06,NA,NA,NA,NA,NA,NA
"CLUN",1,44,49,"No","Avg.Confidence",-9.83066941444642,0.00883494126542644,-1.00086621702253e-05,-0.240447644885489,NA,NA,NA,NA,NA,NA,NA,NA,-5.11892874785402,0.0189589556357575,-4.84821176200008e-06,0.328095992889828,NA,NA,NA,NA,NA,NA,NA,NA
"COCA",1,20,23,"No","Avg.Confidence",-6.27673049995123,-0.000313615641097175,-7.04857099216614e-06,-0.323163660589531,NA,NA,NA,NA,NA,NA,NA,NA,-1.51250391231188,0.0109513513082835,-7.85028273123522e-07,0.416686999502761,NA,NA,NA,NA,NA,NA,NA,NA
"EPAN",1,18,24,"Yes","Avg.Confidence",-10.1764937404411,-0.00496654895372077,-6.21211803444092e-06,NA,NA,NA,-1.36792746588447,-4.73647369813617,-0.0105058857562085,-0.0158077953196893,-2.81857026034108e-06,-3.78797407029078e-06,-0.248173248089852,0.0142035517861357,2.11215092754642e-06,NA,NA,NA,8.40342267234851,7.60826142559625,0.00668796253906094,0.00867152727098917,4.21465699104779e-06,6.9283702793533e-06
"GAOV",1,11,9,"No","Avg.Confidence",-18.5024159001652,0.00654315025666849,-1.29313397460472e-05,-0.579495628502987,NA,NA,NA,NA,NA,NA,NA,NA,-6.41816688813281,0.0289529708883826,-2.89872671265708e-06,0.460230495225545,NA,NA,NA,NA,NA,NA,NA,NA
"GASH",1,21,19,"No","Avg.Confidence",-1.51574426337413,-0.00736506107528973,-3.30514843314072e-06,-0.333349356664891,NA,NA,NA,NA,NA,NA,NA,NA,1.68200945190769,0.00109873897011502,2.21612106844672e-06,0.288392939230404,NA,NA,NA,NA,NA,NA,NA,NA
"GOOB",1,20,42,"No","Avg.Confidence",-7.16237895405718,-5.51170251545056e-05,-6.27438329148465e-06,-1.69644398579996,-0.00553317050522688,-3.72161090644346e-06,NA,NA,NA,NA,NA,NA,-1.82917824246085,0.0111639741500613,-6.33120702497064e-07,3.80534909565066,0.00614662312752275,2.54273166991599e-06,NA,NA,NA,NA,NA,NA
"GYDR",1,17,22,"No","Avg.Confidence",-6.62061980782427,-0.000328116802447684,-5.63755179642795e-06,-0.370229045128649,NA,NA,NA,NA,NA,NA,NA,NA,-1.89059263212915,0.0099391688235681,-4.66274877628942e-07,0.565427825956351,NA,NA,NA,NA,NA,NA,NA,NA
"HIAL",1,12,10,"No","Avg.Confidence",-4.91060816836864,-0.00611254359282787,-4.25371410385882e-06,-0.54504484939261,NA,NA,NA,NA,NA,NA,NA,NA,0.195158590477171,0.00590761655268666,2.18957711243315e-06,0.437000353182442,NA,NA,NA,NA,NA,NA,NA,NA
"HODI",1,17,10,"No","Avg.Confidence",-4.46673002577743,-0.00829488849019462,-6.45586542815217e-06,-2.0496325314687,-0.00493177598257358,NA,NA,NA,NA,NA,NA,NA,1.54827437689857,0.00753517358322336,3.17144768657031e-06,2.59927837977542,0.00279817697299886,NA,NA,NA,NA,NA,NA,NA
"LIBO",1,48,67,"No","Avg.Confidence",-7.37554312459488,0.00641093579242318,-1.05929939357535e-05,-0.440032687315379,-0.00162495442420424,NA,NA,NA,NA,NA,NA,NA,-3.10277693370361,0.016554840173774,-4.70815188664574e-06,1.80727433133081,0.00105990854168212,NA,NA,NA,NA,NA,NA,NA
"MANE",1,61,57,"No","Avg.Confidence",-6.31128138211448,0.0059401645877249,-1.31861175662574e-05,-0.274939986554192,NA,NA,NA,NA,NA,NA,NA,NA,-2.06888475025209,0.0176132483516625,-5.42307926104191e-06,0.221807370881412,NA,NA,NA,NA,NA,NA,NA,NA
"MEFE",1,26,12,"No","Avg.Confidence",-7.29749189236027,-0.00218153832908409,-3.09835255792803e-06,-24.9514428620591,0.00411089375766065,-1.58231605272841e-05,NA,NA,NA,NA,NA,NA,-1.64042190066331,0.00800708934581073,1.08293956661566e-06,-3.01047644470843,0.0399346090808322,-1.57894040816626e-06,NA,NA,NA,NA,NA,NA
"OPHO",1,29,16,"No","Avg.Confidence",-3.25646945594106,-0.00636794687160778,-4.50048793383049e-06,-10.9954212389099,-0.00451746980908777,-1.03879478387587e-05,NA,NA,NA,NA,NA,NA,1.49524910496296,0.00531906981168859,2.02857229984554e-06,0.703078487977868,0.0220091405209998,3.52089132367983e-06,NA,NA,NA,NA,NA,NA
"PAMY",1,127,101,"Yes","Avg.Confidence",-3.09574845704578,0.00177691718878618,-2.84052208707971e-06,NA,NA,NA,-0.291778133401756,-0.76814419856717,NA,NA,NA,NA,-1.03129537107363,0.0058100442613123,-1.06052615360147e-06,NA,NA,NA,1.15685552128176,-0.101902753702464,NA,NA,NA,NA
"POMU",1,20,10,"No","Avg.Confidence",-1.1518295526045,-0.00642577770131063,-1.26446952532494e-06,-2.09869311959118,-0.00131522400218166,NA,NA,NA,NA,NA,NA,NA,1.53575307290427,-0.00122525366420245,1.29662299523455e-06,0.634371378802549,0.00164887385144091,NA,NA,NA,NA,NA,NA,NA
"PTAQ",1,47,22,"No","Avg.Confidence",-4.4775538263057,9.97256510783268e-05,-4.6974208349659e-06,-2.36869969998818,-0.000969526879267266,NA,NA,NA,NA,NA,NA,NA,-0.937008702382933,0.00776880741054799,-8.28111581854539e-07,0.104676905853482,0.00159918978150048,NA,NA,NA,NA,NA,NA,NA
"RULA",1,18,13,"No","Avg.Confidence",-34.7820526172896,0.0141940007113926,-1.61460144915692e-05,-0.699550577971366,NA,NA,NA,NA,NA,NA,NA,NA,-12.3105537289914,0.0462534866838011,-4.84609698226025e-06,0.436038854302556,NA,NA,NA,NA,NA,NA,NA,NA
"RUPA",1,33,21,"No","Avg.Confidence",-9.18301549541659,0.00297903345064167,-9.63107676045046e-06,-3.30553758014791,-0.0100283469492549,-3.47515267278712e-06,NA,NA,NA,NA,NA,NA,-2.769650048444,0.0173572034963829,-2.08818748354271e-06,4.06356930687519,0.00666675990432573,5.16681391122789e-06,NA,NA,NA,NA,NA,NA
"RUPE",1,23,23,"No","Avg.Confidence",-10.1308553409343,0.00363063563104263,-5.55543621755518e-06,-0.312120586021938,NA,NA,NA,NA,NA,NA,NA,NA,-4.5505643482357,0.0135308765335522,-1.41743019302372e-06,0.314020530737011,NA,NA,NA,NA,NA,NA,NA,NA
"RUSP",1,15,20,"No","Avg.Confidence",-3.23640407619788,-0.00399768756522905,-1.72945445696988e-06,-0.36034586186563,NA,NA,NA,NA,NA,NA,NA,NA,-0.343485638952079,0.00203549331388871,1.16372096709528e-06,0.519086403999647,NA,NA,NA,NA,NA,NA,NA,NA
"SOSI",1,48,19,"No","Avg.Confidence",-14.6249118388049,0.00792326386249804,-6.64868401702957e-06,-3.11770559092573,-0.000980753941444448,NA,NA,NA,NA,NA,NA,NA,-7.23866066706459,0.0191399427075926,-2.5102962691288e-06,0.42288995898609,0.00135387813175558,NA,NA,NA,NA,NA,NA,NA
"SPBE",1,17,29,"No","Avg.Confidence",-5.78327484895273,-0.00105797268019452,-5.82614186832835e-06,-0.626001584094764,-0.0010330547722483,NA,NA,NA,NA,NA,NA,NA,-1.30440716664965,0.00901018258710365,-4.09469987204652e-07,1.56073481839152,0.000977051576057107,NA,NA,NA,NA,NA,NA,NA
"TITR",1,34,39,"No","Avg.Confidence",-4.00861483671872,-0.00115279455086562,-3.01472886589498e-06,-0.260385946743727,NA,NA,NA,NA,NA,NA,NA,NA,-0.958435986916786,0.00522960858315412,1.13122871485437e-09,0.360246860977094,NA,NA,NA,NA,NA,NA,NA,NA
"TRBO",1,10,26,"No","Avg.Confidence",-8.51897075078311,-0.00346184669912042,-1.19340213329107e-05,-2.01607733424958,-0.00886371921443119,-6.43445898303485e-06,NA,NA,NA,NA,NA,NA,-0.58519192523165,0.0164759871139535,5.8229350898217e-07,5.17402620288475,0.00838135911148304,4.99286701328719e-06,NA,NA,NA,NA,NA,NA
"VAME",1,95,115,"Yes","Avg.Confidence",-8.53784678899,0.00782917479182179,-5.24906498470231e-06,NA,NA,NA,-15.8505451507143,-0.193026822020345,0.00118694276002213,-0.00128550723572969,NA,NA,-5.30757640775183,0.0132613721388203,-3.04722077768636e-06,NA,NA,NA,-2.12532904748052,1.93964545617805,0.00933763031417471,0.000437200635673489,NA,NA
"VASI",1,24,28,"No","Avg.Confidence",-16.5007585859801,0.00357410183059876,-5.16935359258519e-06,-0.310300048540823,NA,NA,NA,NA,NA,NA,NA,NA,-6.31550660112202,0.0175796180300059,-4.40256290073663e-07,0.421320287547341,NA,NA,NA,NA,NA,NA,NA,NA
"ACCI",2,72,56,"No","Avg.Confidence",-4.05778871678864,0.00227860447022341,-8.82868058712528e-06,-0.983231888079485,-0.00116736132668692,NA,NA,NA,NA,NA,NA,NA,-0.536824784719734,0.011419959995968,-3.09635132178711e-06,0.672487880489106,0.000892800647817142,NA,NA,NA,NA,NA,NA,NA
"ACGL",2,15,10,"No","Avg.Confidence",-6.1170250760076,-0.00502586750139846,-4.71866764844797e-06,-1.28398257135986,-0.00166746014093303,NA,NA,NA,NA,NA,NA,NA,-0.16888487228363,0.00812096030744362,1.75675582113116e-06,1.22530426884843,0.00125856880092657,NA,NA,NA,NA,NA,NA,NA
"ACMI",2,10,17,"Yes","Avg.Confidence",-4.65715256237877,-0.00149397315003788,NA,NA,NA,NA,0.241213052804759,-3.39102257454108,-0.00109685675117978,-0.00158740928396641,NA,NA,-1.94839542057513,0.000942796247364353,NA,NA,NA,NA,3.59150691495398,2.08015944734142,0.00152364770825622,0.0029329107422702,NA,NA
"AMAL",2,42,43,"No","Avg.Confidence",-4.41010908950908,0.000551065733081004,-5.24217462493478e-06,-0.236421683103508,NA,NA,NA,NA,NA,NA,NA,NA,-1.13473592989605,0.00807207297826141,-1.23490677336584e-06,0.2547336826917,NA,NA,NA,NA,NA,NA,NA,NA
"ARUV",2,42,28,"Yes","Avg.Confidence",-4.04232198836243,-0.000987049382583784,-3.06832963203136e-06,NA,NA,NA,-1.65220174483039,-3.29208929144966,-0.0013313311006966,-0.000971187860860262,NA,NA,-0.795305872450185,0.00543869595834441,-5.99039480126458e-08,NA,NA,NA,2.03728044944721,0.442311926464032,0.00206489204957356,0.00263670030739572,NA,NA
"ATFI",2,24,27,"No","Avg.Confidence",-3.94658396896827,-0.00387422061802143,-3.6033655797654e-06,-0.258759084850551,NA,NA,NA,NA,NA,NA,NA,NA,0.0567341453572503,0.00527595342499017,1.06816458198765e-06,0.315570181238776,NA,NA,NA,NA,NA,NA,NA,NA
"CAME",2,32,29,"No","Avg.Confidence",-46.2981533986326,0.00380341397851953,-1.24337664027762e-05,-0.399112768015452,NA,NA,NA,NA,NA,NA,NA,NA,-8.57137744408708,0.0478271234191452,3.33303261512249e-07,0.313669754433289,NA,NA,NA,NA,NA,NA,NA,NA
"CARU",2,33,22,"Yes","Avg.Confidence",-6.66939024660805,0.00160437913774604,-4.84436137629549e-06,NA,NA,NA,-1.60130375700856,-2.22695105271285,-0.00134853743986035,-0.000941817708510414,NA,NA,-2.47314817167805,0.00983883407536025,-1.04678680450716e-06,NA,NA,NA,2.5668003672037,0.411329893626144,0.00216663264867969,0.0013883098792501,NA,NA
"CEVE",2,26,18,"Yes","Avg.Confidence",-8.96085501521622,0.00347803409017898,-6.39246196261378e-06,NA,NA,NA,0.848943372916877,-1.86615789720112,NA,NA,NA,NA,-3.78782615420626,0.0135413135557894,-1.80356508357351e-06,NA,NA,NA,2.69214314401311,-0.291107917532291,NA,NA,NA,NA
"CHUM",2,61,45,"No","Avg.Confidence",-6.04359594279326,0.00371377536568636,-7.61867353935815e-06,-2.33889519914849,-0.00479285395084137,-3.40824803380021e-06,NA,NA,NA,NA,NA,NA,-2.06338157105353,0.012707493708569,-2.80337649741391e-06,2.03763568038561,0.00520411968083141,2.48164648196227e-06,NA,NA,NA,NA,NA,NA
"CLUN",2,44,51,"No","Avg.Confidence",-9.9820174263837,0.00890929052097256,-1.01376787569946e-05,-0.864548491784541,-0.00135146044756931,NA,NA,NA,NA,NA,NA,NA,-5.07341603443745,0.0192052257034186,-4.92572229829876e-06,1.4368903022711,0.000920700921458969,NA,NA,NA,NA,NA,NA,NA
"COCA",2,20,21,"No","Avg.Confidence",-6.22567080035864,-0.000599757178580663,-6.770636694696e-06,-0.322849006999322,NA,NA,NA,NA,NA,NA,NA,NA,-1.45238681240429,0.0106052329790711,-6.07911356345447e-07,0.354662316147696,NA,NA,NA,NA,NA,NA,NA,NA
"EPAN",2,18,20,"Yes","Avg.Confidence",-10.8161394733491,0.00044174001392044,-6.58715596800595e-06,NA,NA,NA,-1.35061377592521,-4.38010437487055,-0.0100857292141898,-0.0131135634747856,-5.13951790916871e-06,-3.22422552091443e-06,-2.71815969065472,0.0151353286018698,-3.15144418052791e-07,NA,NA,NA,8.215528224749,6.63000796968406,0.00814257405470209,0.00746082730946798,4.10737732681686e-06,5.65578469097698e-06
"GAOV",2,11,9,"No","Avg.Confidence",-18.5024159001652,0.00654315025666849,-1.29313397460472e-05,-0.579495628502987,NA,NA,NA,NA,NA,NA,NA,NA,-6.41816688813281,0.0289529708883826,-2.89872671265708e-06,0.460230495225545,NA,NA,NA,NA,NA,NA,NA,NA
"GASH",2,21,23,"No","Avg.Confidence",-1.83767539653052,-0.00715548592287201,-3.75780158699863e-06,-1.85541768052533,-0.0018344867171287,NA,NA,NA,NA,NA,NA,NA,1.7062336495244,0.00194025664138641,2.17573313107194e-06,1.20681312901414,0.00298477967806223,NA,NA,NA,NA,NA,NA,NA
"GOOB",2,20,46,"No","Avg.Confidence",-6.9437031759284,0.00164755402705437,-6.02068664294149e-06,-0.0813001987481987,-0.00165370665000336,NA,NA,NA,NA,NA,NA,NA,-2.54327575616102,0.0106692936347934,-1.52587107814258e-06,2.50493100093399,0.00105270272230651,NA,NA,NA,NA,NA,NA,NA
"GYDR",2,17,26,"No","Avg.Confidence",-6.5113044738308,-0.000161158336607391,-5.34535371880318e-06,-0.888569901840446,-0.000919590617403518,NA,NA,NA,NA,NA,NA,NA,-1.92824241918626,0.00949188298478395,-5.55588170141337e-07,1.21040414789914,0.00120224878708319,NA,NA,NA,NA,NA,NA,NA
"HIAL",2,12,7,"No","Avg.Confidence",-5.62466957512504,-0.00679200478739808,-4.5811071260215e-06,-2.08953736456576,-0.00434731478787211,NA,NA,NA,NA,NA,NA,NA,0.503226662319753,0.0070481490659201,2.47712652425207e-06,2.6504845671938,0.00260257742495854,NA,NA,NA,NA,NA,NA,NA
"HODI",2,17,9,"No","Avg.Confidence",-4.9441234036012,-0.00796989447854278,-7.36384652990463e-06,-2.0048292670705,-0.00349058230866606,NA,NA,NA,NA,NA,NA,NA,1.35825505107086,0.0089031520691206,3.14245391356571e-06,1.80282288327722,0.00231539856851901,NA,NA,NA,NA,NA,NA,NA
"LIBO",2,48,65,"No","Avg.Confidence",-7.45335801613624,0.00651204298774584,-1.08780592968966e-05,-0.684148641717424,-0.00168344402128031,NA,NA,NA,NA,NA,NA,NA,-3.05387307118511,0.0169303030599977,-4.8023483365522e-06,1.80960086984802,0.00108430642658603,NA,NA,NA,NA,NA,NA,NA
"MANE",2,61,59,"No","Avg.Confidence",-6.13734467629622,0.00572698163932869,-1.28485616533812e-05,-0.241871064099637,NA,NA,NA,NA,NA,NA,NA,NA,-1.97946376174368,0.0171391309442708,-5.28391169243088e-06,0.218732897701907,NA,NA,NA,NA,NA,NA,NA,NA
"MEFE",2,26,10,"No","Avg.Confidence",-5.05948406654301,-0.00244473863125618,-1.57421733028029e-06,-1.74538269282655,NA,NA,NA,NA,NA,NA,NA,NA,-1.21027217071226,0.00414427926520658,1.02591434872519e-06,-0.253738413213109,NA,NA,NA,NA,NA,NA,NA,NA
"OPHO",2,29,16,"No","Avg.Confidence",-2.83464369929917,-0.00653323138694452,-3.92524293565366e-06,-14.1676039838705,0.0027913517888114,-1.3825081633837e-05,NA,NA,NA,NA,NA,NA,1.59282312186693,0.00416459263537015,1.91076846763455e-06,-2.42756819349669,0.0286600257561925,-2.87743566229953e-07,NA,NA,NA,NA,NA,NA
"PAMY",2,127,108,"Yes","Avg.Confidence",-2.93135245420927,0.00162876054040118,-2.81800430762378e-06,NA,NA,NA,-0.165387866563894,-0.670266427519243,NA,NA,NA,NA,-0.895847858519601,0.00562434915080079,-1.04553755414102e-06,NA,NA,NA,1.28062179922314,-0.0103228641065719,NA,NA,NA,NA
"POMU",2,20,10,"No","Avg.Confidence",-1.05853694872032,-0.00679873781753298,-1.57127352342919e-06,-1.89283789480598,-0.00135037299475725,NA,NA,NA,NA,NA,NA,NA,1.67919084145227,-0.00114372745831116,1.48047308686415e-06,0.615381044772304,0.00137621602199033,NA,NA,NA,NA,NA,NA,NA
"PTAQ",2,47,19,"No","Avg.Confidence",-3.98446025190066,-0.000816838522687104,-4.1930585415783e-06,-2.14068792962728,-0.00086996563643088,NA,NA,NA,NA,NA,NA,NA,-0.536246564402714,0.00672081173184846,-3.99315984965792e-07,-0.112315529802298,0.00112011764207335,NA,NA,NA,NA,NA,NA,NA
"RULA",2,18,16,"No","Avg.Confidence",-34.7980931148073,0.0153762672952351,-1.62850660622618e-05,-0.434127193075303,NA,NA,NA,NA,NA,NA,NA,NA,-13.0230077197412,0.0465129562894587,-5.28587190265892e-06,0.359748327143059,NA,NA,NA,NA,NA,NA,NA,NA
"RUPA",2,33,22,"No","Avg.Confidence",-9.31269141557828,0.00194923062974767,-9.84060557159992e-06,-3.63171512351563,-0.0130274215115095,-3.98404010162646e-06,NA,NA,NA,NA,NA,NA,-2.31219722223135,0.0177297444528848,-1.58901537082546e-06,5.41360575924246,0.007651591847526,6.64220802774766e-06,NA,NA,NA,NA,NA,NA
"RUPE",2,23,25,"No","Avg.Confidence",-9.42721608644457,0.00246014202789269,-4.79073350654895e-06,-1.30577920914996,-0.00184547728713504,NA,NA,NA,NA,NA,NA,NA,-3.78527587158511,0.0118968112069036,-9.61121854363742e-07,2.28440630605318,0.0010795521168786,NA,NA,NA,NA,NA,NA,NA
"RUSP",2,15,21,"No","Avg.Confidence",-3.6155733034871,-0.0041839041384171,-2.15253402118724e-06,-0.410137106472922,NA,NA,NA,NA,NA,NA,NA,NA,-0.266709820915351,0.00288369994748599,1.27902294039853e-06,0.6935170253858,NA,NA,NA,NA,NA,NA,NA,NA
"SOSI",2,48,18,"No","Avg.Confidence",-14.8140614883354,0.00661126626423242,-6.76212050778922e-06,-29.6797402371689,-0.0162599719372602,-1.26064304392118e-05,NA,NA,NA,NA,NA,NA,-6.39033019091868,0.0194441341501143,-2.03588638996714e-06,10.3860762457994,0.0383523811347023,5.66652098534318e-06,NA,NA,NA,NA,NA,NA
"SPBE",2,17,29,"No","Avg.Confidence",-5.76768681203994,-0.00110608314240014,-5.87440776865692e-06,-0.628968136919657,-0.00107816480931634,NA,NA,NA,NA,NA,NA,NA,-1.2716753044353,0.00902843776916777,-3.99085933532938e-07,1.5980470570676,0.000980246829351036,NA,NA,NA,NA,NA,NA,NA
"TITR",2,34,37,"No","Avg.Confidence",-4.06358042301954,-0.00113281364166376,-3.14450626664503e-06,-0.251074516056398,NA,NA,NA,NA,NA,NA,NA,NA,-0.963011001002992,0.00540337477793383,-3.25146331650528e-08,0.308244655485867,NA,NA,NA,NA,NA,NA,NA,NA
"TRBO",2,10,25,"No","Avg.Confidence",-9.07005488822782,-0.00384157488780646,-1.28861422123531e-05,-2.75215771067608,-0.0109521121808283,-9.13629344279829e-06,NA,NA,NA,NA,NA,NA,-0.4437095641564,0.01795188717101,8.49867054238944e-07,5.85425152162178,0.0112835849284283,6.46350090679734e-06,NA,NA,NA,NA,NA,NA
"VAME",2,95,111,"Yes","Avg.Confidence",-8.40233829791669,0.00759954796498487,-5.14582340411092e-06,NA,NA,NA,-13.1994425124736,-0.20464902908268,0.00101044311094447,-0.00134931032430668,NA,NA,-5.18733058211114,0.0130127583955781,-2.95136142183396e-06,NA,NA,NA,-1.64297296552017,1.93237254451936,0.008015449044778,0.000380403380418111,NA,NA
"VASI",2,24,23,"No","Avg.Confidence",-15.9444717896903,0.00292298667853488,-4.99121915472991e-06,-0.335802910532684,NA,NA,NA,NA,NA,NA,NA,NA,-5.88712035807626,0.0168837050900033,-2.40962036188964e-07,0.309607933255262,NA,NA,NA,NA,NA,NA,NA,NA
"ACCI",3,72,62,"No","Avg.Confidence",-4.20236976217055,0.00283634919517768,-9.17839462606973e-06,-0.418703626698109,NA,NA,NA,NA,NA,NA,NA,NA,-0.771178868286415,0.0118995798758394,-3.43281434906678e-06,0.249176392224701,NA,NA,NA,NA,NA,NA,NA,NA
"ACGL",3,15,12,"No","Avg.Confidence",-7.55026373529612,-0.00112624380939961,-6.07133070092046e-06,-0.546546068070557,NA,NA,NA,NA,NA,NA,NA,NA,-1.88030473456523,0.0110652107979311,-6.41449041834862e-09,0.407037425692398,NA,NA,NA,NA,NA,NA,NA,NA
"ACMI",3,10,23,"Yes","Avg.Confidence",-6.02070994435426,-0.00386197075833006,-3.00669316301759e-06,NA,NA,NA,-0.596016224768085,-6.32459635674189,-0.00102237302816685,0.000592665120453927,NA,NA,-0.907572141670564,0.00569395899379206,1.27686175884157e-06,NA,NA,NA,4.00436026691661,-0.262167260419738,0.00319433138763197,0.0054741542794995,NA,NA
"AMAL",3,42,44,"No","Avg.Confidence",-4.43808971517033,0.000633626450354698,-5.16009362991908e-06,-0.233403909634638,NA,NA,NA,NA,NA,NA,NA,NA,-1.18679341972299,0.00804612908435202,-1.24291866135937e-06,0.267360868814643,NA,NA,NA,NA,NA,NA,NA,NA
"ARUV",3,42,28,"Yes","Avg.Confidence",-3.36872534565202,-0.00297798745694072,-2.41131941594387e-06,NA,NA,NA,-1.88714402985621,-3.52226968240743,-0.00189776754565671,-0.000467101315128209,NA,NA,0.135410708078501,0.00404535665989369,7.84793978565974e-07,NA,NA,NA,2.18315184777527,0.0178498684177866,0.00212259656660273,0.0028698947398634,NA,NA
"ATFI",3,24,29,"No","Avg.Confidence",-3.95073569195981,-0.00369509661787459,-3.53199686096897e-06,-0.28196864962519,NA,NA,NA,NA,NA,NA,NA,NA,0.00625349813373544,0.00524118120670733,9.9609565797498e-07,0.385910968965666,NA,NA,NA,NA,NA,NA,NA,NA
"CAME",3,32,30,"No","Avg.Confidence",-45.93437208981,0.00541948762988895,-1.25755513280714e-05,-0.356603450306025,NA,NA,NA,NA,NA,NA,NA,NA,-9.66865530790594,0.0478815433587406,-2.22768691694405e-07,0.303694420166902,NA,NA,NA,NA,NA,NA,NA,NA
"CARU",3,33,22,"Yes","Avg.Confidence",-6.07491905991524,0.000861286648876539,-4.39556043754485e-06,NA,NA,NA,-0.189896626193898,-1.32772156835904,NA,NA,NA,NA,-2.15135879394858,0.00874208785993578,-7.54702451195546e-07,NA,NA,NA,1.79044396744112,-0.0777782136634976,NA,NA,NA,NA
"CEVE",3,26,21,"Yes","Avg.Confidence",-9.19239249606746,0.00399267987062617,-6.75331912631951e-06,NA,NA,NA,-0.223841239838726,-4.13013179658501,-0.00125844001274938,-0.00158329636540515,NA,NA,-3.89198258091886,0.0141364177042021,-2.05965598626304e-06,NA,NA,NA,3.48553941129683,0.980574546247732,0.00198251748061011,0.0029991600737498,NA,NA
