"Species","Dataset","L.Occ","R.Occ","Fire.Included","Type","Intercept.CI.Lower","Elevation.m.CI.Lower","Elevation.m2.CI.Lower","Data.Type.nofi.CI.Lower","Data.Type.Elevation.m.nofi.CI.Lower","Data.Type.Elevation.m2.nofi.CI.Lower","Resurvey.Burned.fi.CI.Lower","Resurvey.Unburned.fi.CI.Lower","Elevation.m.Res.Burn.fi.CI.Lower","Elevation.m.Res.Unburn.fi.CI.Lower","Elevation.m2.Res.Burn.fi.CI.Lower","Elevation.m2.Res.Unburn.fi.CI.Lower","Intercept.CI.Upper","Elevation.m.CI.Upper","Elevation.m2.CI.Upper","Data.Type.nofi.CI.Upper","Data.Type.Elevation.m.nofi.CI.Upper","Data.Type.Elevation.m2.nofi.CI.Upper","Resurvey.Burned.fi.CI.Upper","Resurvey.Unburned.fi.CI.Upper","Elevation.m.Res.Burn.fi.CI.Upper","Elevation.m.Res.Unburn.fi.CI.Upper","Elevation.m2.Res.Burn.fi.CI.Upper","Elevation.m2.Res.Unburn.fi.CI.Upper"
"RUPE",71,23,23,"No","Avg.Confidence",-9.96626551043635,0.00305333962823431,-5.2119160727466e-06,-1.21813815130717,-0.00153921517156426,NA,NA,NA,NA,NA,NA,NA,-4.18530700435844,0.0129005936191056,-1.18233139448922e-06,1.85565236295409,0.000996476078980523,NA,NA,NA,NA,NA,NA,NA
"RUSP",71,15,23,"No","Avg.Confidence",-4.21255470517686,-0.00478745817302801,-2.93906499226875e-06,-2.07486643313818,-0.00331674717098765,-1.91774722576588e-06,NA,NA,NA,NA,NA,NA,-0.000252741004454382,0.00433512812961067,1.53569183842696e-06,1.90450918580106,0.00457944603947694,1.55532661692169e-06,NA,NA,NA,NA,NA,NA
"SOSI",71,48,22,"No","Avg.Confidence",-14.4623356249725,0.00735362335955585,-6.51314670159168e-06,-8.90855048639803,-0.00695959211901564,-3.40252017660602e-06,NA,NA,NA,NA,NA,NA,-6.89310402207979,0.0188208685074842,-2.29128606589567e-06,3.97614098170183,0.0104742986385264,2.49146782195941e-06,NA,NA,NA,NA,NA,NA
"SPBE",71,17,31,"No","Avg.Confidence",-5.86684567556677,-0.000944782525488174,-5.83009858374071e-06,-0.391518834517591,-0.00119983778115837,NA,NA,NA,NA,NA,NA,NA,-1.4278896865854,0.00901636683135606,-4.82230018351535e-07,1.80340270005705,0.00111048463807499,NA,NA,NA,NA,NA,NA,NA
"TITR",71,34,40,"No","Avg.Confidence",-3.86461325268814,-0.00126470580410168,-3.09355776736595e-06,-0.268845947991507,NA,NA,NA,NA,NA,NA,NA,NA,-0.834087647423795,0.00515892581880536,-1.27028686057778e-08,0.394592996738813,NA,NA,NA,NA,NA,NA,NA,NA
"TRBO",71,10,27,"No","Avg.Confidence",-8.70794839926599,-0.00353076116520298,-1.22432222392952e-05,-2.14237683226727,-0.00953528553665477,-7.18935217562893e-06,NA,NA,NA,NA,NA,NA,-0.542734006195731,0.0169573594001593,6.16356173180554e-07,5.49531032656794,0.00914266704361492,5.39729628174751e-06,NA,NA,NA,NA,NA,NA
"VAME",71,95,114,"Yes","Avg.Confidence",-8.29311663027159,0.00745761364469684,-5.06113976079865e-06,NA,NA,NA,-13.0973560124916,-0.0736715750206335,0.000983787841492356,-0.00140708546895019,NA,NA,-5.11195214341588,0.0128095498672241,-2.89234567210581e-06,NA,NA,NA,-1.60810518637854,2.04131876723294,0.00794844811446663,0.000307570987818838,NA,NA
"VASI",71,24,24,"No","Avg.Confidence",-16.7128906775967,0.00334970781592555,-5.27179191174712e-06,-0.315914790541079,NA,NA,NA,NA,NA,NA,NA,NA,-6.18277943069387,0.0178380014667494,-3.78152398687408e-07,0.316237029028145,NA,NA,NA,NA,NA,NA,NA,NA
"ACCI",72,72,62,"No","Avg.Confidence",-4.2771278482872,0.00298487440921257,-9.40335751008968e-06,-0.419813232147711,NA,NA,NA,NA,NA,NA,NA,NA,-0.811644309008766,0.0121780185659156,-3.54590050634968e-06,0.249639887000305,NA,NA,NA,NA,NA,NA,NA,NA
"ACGL",72,15,10,"No","Avg.Confidence",-6.29159949087069,-0.00495256218984198,-4.92331302532386e-06,-1.28702164627141,-0.00166574241709606,NA,NA,NA,NA,NA,NA,NA,-0.204716029381574,0.00852456110231549,1.73062091640407e-06,1.22734290859389,0.00125795123720949,NA,NA,NA,NA,NA,NA,NA
